,PLACEID,BOROUGH CODE,FACILITY TYPE,FEATURE NAME,longitude,latitude,FACILITY TYPE NAME,ACTIVITY_CATEGORY,BOROUGH NAME
2,1036755,3.0,4,MCGOLRICK PLAYGROUND COMFORT STATION,-73.943478646583,40.724827480825,Recreational Facility,recreation,Brooklyn
4,6914,3.0,6,BAY RIDGE CHANNEL LIGHTED GONG BUOY 11,-74.024085858699,40.672444940613,Transportation Facility,transportation,Brooklyn
5,15705,1.0,4,THOMAS JEFFERSON PARK,-73.936113484306,40.793070363719,Recreational Facility,recreation,Manhattan
7,1031750,3.0,6,NEWKIRK AV OVER NYCTA BRIGHTON,-73.962896032221,40.635725656411,Transportation Facility,transportation,Brooklyn
9,9539,4.0,4,ARTHUR ASHE STADIUM,-73.8469462415,40.749665456207,Recreational Facility,recreation,Queens
11,1035190,1.0,4,HARLEM GROWN 134 ST GREEN HOUSE,-73.943313433901,40.81410593537,Recreational Facility,recreation,Manhattan
15,1032070,1.0,4,RIVERSIDE PARK BASKETBALL COURTS W 111 ST,-73.96974958994,40.806235003283,Recreational Facility,recreation,Manhattan
18,6515,2.0,6,WESTCHESTER CREEK CHANNEL BUOY 5,-73.84428560437,40.811189872738,Transportation Facility,transportation,Bronx
19,3633,3.0,9,BENSONHURST JEWISH COMMUNITY,-73.978016358098,40.613929641984,Religious Institution,culture,Brooklyn
20,3847,3.0,9,TEMPLE BETH-EL CHURCH,-73.902825054518,40.666328159518,Religious Institution,culture,Brooklyn
26,1031890,1.0,6,TO PARK ROW OVER ROSE STREET,-74.003300378486,40.711312627962,Transportation Facility,transportation,Manhattan
29,1031546,2.0,6,EAGLE AVENUE OVER EAST  161 ST,-73.908433275237,40.822174414728,Transportation Facility,transportation,Bronx
31,3483,2.0,4,PELHAM BAY PARK RICE STADIUM,-73.822723726794,40.849162167749,Recreational Facility,recreation,Bronx
33,1160,3.0,4,PROSPECT PARK WILLINK HILL,-73.96356475917,40.662003008286,Recreational Facility,recreation,Brooklyn
37,3972,2.0,9,ST BARNABAS CHURCH,-73.865341149755,40.902121904563,Religious Institution,culture,Bronx
42,1031695,3.0,6,STERLING PL OVR FRANKLIN AV SHTL,-73.958042703148,40.673502843859,Transportation Facility,transportation,Brooklyn
