Orig Order;GeoType;Borough;GeoID;BCT2020;Name;CD Type;NTA Type;Population_20;
129;NTA2020;Brooklyn;BK0101;;Greenpoint;;0;38 980;
130;NTA2020;Brooklyn;BK0102;;Williamsburg;;0;64 444;
131;NTA2020;Brooklyn;BK0103;;South Williamsburg;;0;47 703;
132;NTA2020;Brooklyn;BK0104;;East Williamsburg;;0;52 998;
133;NTA2020;Brooklyn;BK0201;;Brooklyn Heights;;0;25 092;
134;NTA2020;Brooklyn;BK0202;;Downtown Brooklyn-DUMBO-Boerum Hill;;0;40 968;
135;NTA2020;Brooklyn;BK0203;;Fort Greene;;0;32 938;
136;NTA2020;Brooklyn;BK0204;;Clinton Hill;;0;28 647;
137;NTA2020;Brooklyn;BK0261;;Brooklyn Navy Yard;;6;5;
138;NTA2020;Brooklyn;BK0301;;Bedford-Stuyvesant (West);;0;89 189;
139;NTA2020;Brooklyn;BK0302;;Bedford-Stuyvesant (East);;0;84 653;
140;NTA2020;Brooklyn;BK0401;;Bushwick (West);;0;58 692;
141;NTA2020;Brooklyn;BK0402;;Bushwick (East);;0;62 049;
142;NTA2020;Brooklyn;BK0471;;The Evergreens Cemetery;;7;6;
143;NTA2020;Brooklyn;BK0501;;Cypress Hills;;0;43 256;
144;NTA2020;Brooklyn;BK0502;;East New York (North);;0;42 818;
145;NTA2020;Brooklyn;BK0503;;East New York-New Lots;;0;53 004;
146;NTA2020;Brooklyn;BK0504;;Spring Creek-Starrett City;;0;17 038;
147;NTA2020;Brooklyn;BK0505;;East New York-City Line;;0;45 559;
148;NTA2020;Brooklyn;BK0571;;Highland Park-Cypress Hills Cemeteries (South);;7;7;
149;NTA2020;Brooklyn;BK0601;;Carroll Gardens-Cobble Hill-Gowanus-Red Hook;;0;59 166;
150;NTA2020;Brooklyn;BK0602;;Park Slope;;0;57 405;
151;NTA2020;Brooklyn;BK0701;;Windsor Terrace-South Slope;;0;23 622;
152;NTA2020;Brooklyn;BK0702;;Sunset Park (West);;0;54 473;
153;NTA2020;Brooklyn;BK0703;;Sunset Park (Central);;0;55 606;
154;NTA2020;Brooklyn;BK0771;;Green-Wood Cemetery;;7;5;
155;NTA2020;Brooklyn;BK0801;;Prospect Heights;;0;23 515;
156;NTA2020;Brooklyn;BK0802;;Crown Heights (North);;0;85 275;
157;NTA2020;Brooklyn;BK0891;;Lincoln Terrace Park;;9;15;
158;NTA2020;Brooklyn;BK0901;;Crown Heights (South);;0;50 590;
159;NTA2020;Brooklyn;BK0902;;Prospect Lefferts Gardens-Wingate;;0;49 513;
160;NTA2020;Brooklyn;BK1001;;Bay Ridge;;0;86 779;
161;NTA2020;Brooklyn;BK1002;;Dyker Heights;;0;46 756;
162;NTA2020;Brooklyn;BK1061;;Fort Hamilton;;6;775;
163;NTA2020;Brooklyn;BK1091;;Dyker Beach Park;;9;9;
164;NTA2020;Brooklyn;BK1101;;Bensonhurst;;0;104 934;
165;NTA2020;Brooklyn;BK1102;;Bath Beach;;0;33 070;
166;NTA2020;Brooklyn;BK1103;;Gravesend (West);;0;60 523;
167;NTA2020;Brooklyn;BK1201;;Sunset Park (East)-Borough Park (West);;0;35 632;
168;NTA2020;Brooklyn;BK1202;;Borough Park;;0;93 905;
169;NTA2020;Brooklyn;BK1203;;Kensington;;0;41 758;
170;NTA2020;Brooklyn;BK1204;;Mapleton-Midwood (West);;0;39 137;
171;NTA2020;Brooklyn;BK1301;;Gravesend (South);;0;30 366;
172;NTA2020;Brooklyn;BK1302;;Coney Island-Sea Gate;;0;49 517;
173;NTA2020;Brooklyn;BK1303;;Brighton Beach;;0;33 568;
174;NTA2020;Brooklyn;BK1391;;Calvert Vaux Park;;9;0;
175;NTA2020;Brooklyn;BK1401;;Flatbush;;0;66 503;
176;NTA2020;Brooklyn;BK1402;;Flatbush (West)-Ditmas Park-Parkville;;0;43 016;
177;NTA2020;Brooklyn;BK1403;;Midwood;;0;52 891;
178;NTA2020;Brooklyn;BK1501;;Gravesend (East)-Homecrest;;0;52 797;
179;NTA2020;Brooklyn;BK1502;;Madison;;0;41 465;
180;NTA2020;Brooklyn;BK1503;;Sheepshead Bay-Manhattan Beach-Gerritsen Beach;;0;69 084;
181;NTA2020;Brooklyn;BK1601;;Ocean Hill;;0;37 952;
182;NTA2020;Brooklyn;BK1602;;Brownsville;;0;60 470;
183;NTA2020;Brooklyn;BK1701;;East Flatbush-Erasmus;;0;47 690;
184;NTA2020;Brooklyn;BK1702;;East Flatbush-Farragut;;0;34 317;
185;NTA2020;Brooklyn;BK1703;;East Flatbush-Rugby;;0;42 762;
186;NTA2020;Brooklyn;BK1704;;East Flatbush-Remsen Village;;0;39 115;
187;NTA2020;Brooklyn;BK1771;;Holy Cross Cemetery;;7;32;
188;NTA2020;Brooklyn;BK1801;;Flatlands;;0;67 087;
189;NTA2020;Brooklyn;BK1802;;Marine Park-Mill Basin-Bergen Beach;;0;46 955;
190;NTA2020;Brooklyn;BK1803;;Canarsie;;0;89 932;
191;NTA2020;Brooklyn;BK1891;;Marine Park-Plumb Island;;9;1;
192;NTA2020;Brooklyn;BK1892;;McGuire Fields;;9;4;
193;NTA2020;Brooklyn;BK1893;;Canarsie Park & Pier;;9;5;
194;NTA2020;Brooklyn;BK5591;;Prospect Park;;9;15;
195;NTA2020;Brooklyn;BK5691;;Barren Island-Floyd Bennett Field;;9;21;
196;NTA2020;Brooklyn;BK5692;;Jamaica Bay (West);;9;0;
197;NTA2020;Brooklyn;BK5693;;Shirley Chisholm State Park;;9;0;
198;NTA2020;Bronx;BX0101;;Mott Haven-Port Morris;;0;57 718;
199;NTA2020;Bronx;BX0102;;Melrose;;0;42 651;
200;NTA2020;Bronx;BX0201;;Hunts Point;;0;15 131;
201;NTA2020;Bronx;BX0202;;Longwood;;0;40 289;
202;NTA2020;Bronx;BX0291;;North & South Brother Islands;;9;0;
203;NTA2020;Bronx;BX0301;;Morrisania;;0;37 607;
204;NTA2020;Bronx;BX0302;;Claremont Village-Claremont (East);;0;24 553;
205;NTA2020;Bronx;BX0303;;Crotona Park East;;0;30 158;
206;NTA2020;Bronx;BX0391;;Crotona Park;;9;34;
207;NTA2020;Bronx;BX0401;;Concourse-Concourse Village;;0;69 387;
208;NTA2020;Bronx;BX0402;;Highbridge;;0;32 456;
209;NTA2020;Bronx;BX0403;;Mount Eden-Claremont (West);;0;49 651;
210;NTA2020;Bronx;BX0491;;Yankee Stadium-Macombs Dam Park;;9;19;
211;NTA2020;Bronx;BX0492;;Claremont Park;;9;10;
212;NTA2020;Bronx;BX0501;;University Heights (South)-Morris Heights;;0;54 682;
213;NTA2020;Bronx;BX0502;;Mount Hope;;0;49 099;
214;NTA2020;Bronx;BX0503;;Fordham Heights;;0;32 099;
215;NTA2020;Bronx;BX0601;;West Farms;;0;20 147;
216;NTA2020;Bronx;BX0602;;Tremont;;0;32 150;
217;NTA2020;Bronx;BX0603;;Belmont;;0;35 825;
218;NTA2020;Bronx;BX0701;;University Heights (North)-Fordham;;0;46 538;
